Title,Director,Rating,Cast,Votes
Men,Alex Garland,6.1,"Jessie Buckley, Rory Kinnear, Paapa Essiedu, Gayle Rankin",64227
The Strangers,Bryan Bertino,6.1,"Scott Speedman, Liv Tyler, Gemma Ward, Alex Fisher",144138
Ex Machina,Alex Garland,7.7,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno",591689
The Maze Runner,Wes Ball,6.8,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster",511276
You Should Have Left,David Koepp,5.4,"Kevin Bacon, Amanda Seyfried, Avery Tiiu Essex, Colin Blumenau",25941
Shrek,Andrew Adamson,7.9,"Vicky Jenson, Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow",735791
The Killing of a Sacred Deer,Yorgos Lanthimos,7.0,"Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy",188254
Nope,Jordan Peele,6.8,"Daniel Kaluuya, Keke Palmer, Brandon Perea, Michael Wincott",267701
The Hateful Eight,Quentin Tarantino,7.8,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",661374
The Devil Wears Prada,David Frankel,6.9,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt",469155
The Princess Bride,Rob Reiner,8.0,"Cary Elwes, Mandy Patinkin, Robin Wright, Chris Sarandon",451544
Django Unchained,Quentin Tarantino,8.5,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",1699043
Srpski film,Srdjan Spasojevic,5.0,"Srdjan 'Zika' Todorovic, Sergej Trifunovic, Jelena Gavrilovic, Slobodan Bestic",71880
Hacksaw Ridge,Mel Gibson,8.1,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer",596052
The Creator,Gareth Edwards,6.7,"John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney",162143
Pride & Prejudice,Joe Wright,7.8,"Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland",331492
Babylon,Damien Chazelle,7.1,"Brad Pitt, Margot Robbie, Jean Smart, Olivia Wilde",168505
Pretty in Pink,Howard Deutch,6.7,"Molly Ringwald, Jon Cryer, Harry Dean Stanton, Annie Potts",88763
X-Men Origins: Wolverine,Gavin Hood,6.5,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",531572
John Wick,Chad Stahelski,7.4,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",740592
Kill Bill: Vol. 1,Quentin Tarantino,8.2,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen",1196625
28 Days Later...,Danny Boyle,7.5,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer",446912
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,8.1,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",1212714
Mandy,Panos Cosmatos,6.5,"Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy",89887
A Quiet Place,John Krasinski,7.5,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",585149
Five Nights at Freddy's,Emma Tammi,5.5,"Josh Hutcherson, Piper Rubio, Elizabeth Lail, Matthew Lillard",94204
Hidden,Matt Duffer,6.4,"Ross Duffer, Alexander Skarsgård, Andrea Riseborough, Emily Alyn Lind, Steven Elliot",25682
Back to the Future,Robert Zemeckis,8.5,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",1309498
Expend4bles,Scott Waugh,4.8,"Jason Statham, 50 Cent, Megan Fox, Dolph Lundgren",40018
Star Trek,J.J. Abrams,7.9,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",620750
The Dark Knight Rises,Christopher Nolan,8.4,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",1830982
Anna,Luc Besson,6.6,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy",95610
The Prestige,Christopher Nolan,8.5,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",1443987
365 dni,Barbara Bialowas,3.3,"Tomasz Mandes, Anna-Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze",98699
Get Out,Jordan Peele,7.8,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener",699435
Ferrari,Michael Mann,6.5,"Adam Driver, Shailene Woodley, Giuseppe Festinese, Alessandro Cremona",44275
Baghead,Alberto Corredor,5.4,"Freya Allan, Jeremy Irvine, Ruby Barker, Peter Mullan",6593
X-Men,Bryan Singer,7.3,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen",647711
Call Me by Your Name,Luca Guadagnino,7.8,"Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar",317398
Little Women,Greta Gerwig,7.8,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen",247026
Reptile,Grant Singer,6.8,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone",88601
Hereditary,Ari Aster,7.3,"Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff",379659
The American Society of Magical Negroes,Kobi Libii,3.1,"Justice Smith, Zachary Barton, Anthony Coons, Robbie Troy",8335
Jeanne du Barry,Maïwenn,6.7,"Stanislas Stanic, Maïwenn, Johnny Depp, Benjamin Lavernhe",11054
It,Andy Muschietti,7.3,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis",607763
The Dreamers,Bernardo Bertolucci,7.1,"Michael Pitt, Louis Garrel, Eva Green, Anna Chancellor",131845
Logan,James Mangold,8.1,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",833398
Amar Singh Chamkila,Imtiaz Ali,8.0,"Diljit Dosanjh, Parineeti Chopra, Apinderdeep Singh, Anjum Batra",11067
The Super Mario Bros. Movie,Aaron Horvath,7.0,"Michael Jelenic, Pierre Leduc, Fabien Polack, Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black",238066
12 Angry Men,Sidney Lumet,9.0,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",867269
"Crazy, Stupid, Love.",Glenn Ficarra,7.4,"John Requa, Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",565766
Shiti Hanta,Yûichi Satô,6.4,"Ryohei Suzuki, Misato Morita, Masanobu Andô, Fumino Kimura",3048
Dazed and Confused,Richard Linklater,7.6,"Jason London, Wiley Wiggins, Matthew McConaughey, Rory Cochrane",200091
The Magnificent Seven,Antoine Fuqua,6.9,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",228630
L.A. Confidential,Curtis Hanson,8.2,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger",618909
Winnie-the-Pooh: Blood and Honey 2,Rhys Frake-Waterfield,5.2,"Scott Chambers, Tallulah Evans, Ryan Oliva, Lewis Santer",3474
The Menu,Mark Mylod,7.2,"Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult, Hong Chau",394380
Rush,Ron Howard,8.1,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",514737
The Covenant,Guy Ritchie,7.5,"Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong",164052
Drive,Nicolas Winding Refn,7.8,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",705913
Avatar: The Way of Water,James Cameron,7.5,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",496215
Amadeus,Milos Forman,8.4,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",428838
The Terminator,James Cameron,8.1,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield",925903
Beneath the Planet of the Apes,Ted Post,6.0,"James Franciscus, Kim Hunter, Maurice Evans, Linda Harrison",52190
Boogie Nights,Paul Thomas Anderson,7.9,"Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán",282531
Dungeons & Dragons: Honor Among Thieves,John Francis Daley,7.2,"Jonathan Goldstein, Chris Pine, Michelle Rodriguez, Regé-Jean Page, Justice Smith",226377
The Blue Lagoon,Randal Kleiser,5.8,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels",76714
Bridge to Terabithia,Gabor Csupo,7.2,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick",173672
The Big Trail,Raoul Walsh,7.2,"Louis R. Loeffler, John Wayne, Marguerite Churchill, El Brendel, Tully Marshall",4445
Prisoners,Denis Villeneuve,8.2,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo",811730
Sicario,Denis Villeneuve,7.7,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",478000
American Psycho,Mary Harron,7.6,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",717819
The Gray Man,Joe Russo,6.5,"Anthony Russo, Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton",239733
Fall,Scott Mann,6.4,"Grace Caroline Currey, Virginia Gardner, Mason Gooding, Jeffrey Dean Morgan",104682
From Dusk Till Dawn,Robert Rodriguez,7.2,"Harvey Keitel, George Clooney, Juliette Lewis, Quentin Tarantino",341281
Cinderella,Kay Cannon,4.4,"Camila Cabello, Billy Porter, Nicholas Galitzine, Idina Menzel",46744
The Godfather Part II,Francis Ford Coppola,9.0,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",1366759
Prometheus,Ridley Scott,7.0,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",645151
Free Guy,Shawn Levy,7.1,"Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery",427420
Eternal Sunshine of the Spotless Mind,Michel Gondry,8.3,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne",1079924
The Dry,Robert Connolly,6.9,"Eric Bana, Genevieve O'Reilly, Keir O'Donnell, John Polson",33094
One Day,Lone Scherfig,7.0,"Anne Hathaway, Jim Sturgess, Patricia Clarkson, Tom Mison",168474
Love & Other Drugs,Edward Zwick,6.7,"Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt",224773
"Girl, Interrupted",James Mangold,7.3,"Winona Ryder, Angelina Jolie, Clea DuVall, Brittany Murphy",211894
Godzilla vs. Kong,Adam Wingard,6.3,"Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry",242661
Asteroid City,Wes Anderson,6.5,"Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright",114557
The Lion King,Roger Allers,8.5,"Rob Minkoff, Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg",1144704
Oldeuboi,Park Chan-wook,8.3,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok",637326
Don't Worry Darling,Olivia Wilde,6.3,"Florence Pugh, Harry Styles, Chris Pine, Olivia Wilde",147791
Lift,F. Gary Gray,5.5,"Kevin Hart, Gugu Mbatha-Raw, Sam Worthington, Vincent D'Onofrio",39055
Beetlejuice,Tim Burton,7.5,"Alec Baldwin, Geena Davis, Michael Keaton, Annie McEnroe",340840
Pitch Perfect,Jason Moore,7.1,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp",331215
Night Swim,Bryce McGuire,4.7,"Wyatt Russell, Kerry Condon, Amélie Hoeferle, Gavin Warren",17756
Cars,John Lasseter,7.2,"Joe Ranft, Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy",471344
Arrival,Denis Villeneuve,7.9,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",773713
Shutter Island,Martin Scorsese,8.2,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley",1460448
Tombstone,George P. Cosmatos,7.8,"Kevin Jarre, Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton",166798
Upgraded,Carlson Young,6.1,"Camila Mendes, Archie Renaux, Marisa Tomei, Lena Olin",20146
Kimitachi wa dô ikiru ka,Hayao Miyazaki,7.6,"Soma Santoki, Masaki Suda, Kô Shibasaki, Aimyon",51825
Ready Player One,Steven Spielberg,7.4,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe",487655
Moonfall,Roland Emmerich,5.1,"Halle Berry, Patrick Wilson, John Bradley, Charlie Plummer",99913
Gran Turismo,Neill Blomkamp,7.1,"David Harbour, Orlando Bloom, Archie Madekwe, Takehiro Hira",101578
Fast X,Louis Leterrier,5.8,"Vin Diesel, Michelle Rodriguez, Jason Statham, Jordana Brewster",120064
Sen to Chihiro no kamikakushi,Hayao Miyazaki,8.6,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi",851793
Cuando acecha la maldad,Demián Rugna,7.0,"Ezequiel Rodríguez, Demián Salomón, Silvina Sabater, Luis Ziembrowski",32378
300,Zack Snyder,7.6,"Gerard Butler, Lena Headey, David Wenham, Dominic West",865705
Spider-Man,Sam Raimi,7.4,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco",881611
Blade Runner,Ridley Scott,8.1,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",824305
Fabbricante di lacrime,Alessandro Genovesi,5.1,"Simone Baldasseroni, Caterina Ferioli, Sabrina Paravicini, Alessandro Bedetti",6602
The Lobster,Yorgos Lanthimos,7.1,"Colin Farrell, Rachel Weisz, Jessica Barden, Olivia Colman",297733
Girl in the Basement,Elisabeth Röhm,6.3,"Judd Nelson, Stefanie Scott, Joely Fisher, Emma Myers",13598
Red Eye,Wes Craven,6.5,"Rachel McAdams, Cillian Murphy, Brian Cox, Laura Johnson",141637
Romeo + Juliet,Baz Luhrmann,6.7,"Leonardo DiCaprio, Claire Danes, John Leguizamo, Harold Perrineau",245161
Transformers: Rise of the Beasts,Steven Caple Jr.,6.0,"Anthony Ramos, Dominique Fishback, Luna Lauren Velez, Dean Scott Vazquez",104714
The Flash,Andy Muschietti,6.7,"Ezra Miller, Michael Keaton, Sasha Calle, Michael Shannon",211541
Eyes Wide Shut,Stanley Kubrick,7.5,"Tom Cruise, Nicole Kidman, Todd Field, Sydney Pollack",375926
Stand by Me,Rob Reiner,8.1,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell",442495
The Killer,David Fincher,6.7,"Michael Fassbender, Tilda Swinton, Charles Parnell, Arliss Howard",184614
Trolls Band Together,Walt Dohrn,6.0,"Tim Heitz, Anna Kendrick, Justin Timberlake, Kenan Thompson, Walt Dohrn",13848
Memento,Christopher Nolan,8.4,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",1325124
La passion de Dodin Bouffant,Anh Hung Tran,7.5,"Juliette Binoche, Benoît Magimel, Emmanuel Salinger, Patrick d'Assumçao",8514
The Help,Tate Taylor,8.1,"Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard",493676
Cidade de Deus,Fernando Meirelles,8.6,"Kátia Lund, Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen",802385
May December,Todd Haynes,6.8,"Natalie Portman, Chris Tenzis, Charles Melton, Julianne Moore",53687
Snatch,Guy Ritchie,8.2,"Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones",912325
The Suicide Squad,James Gunn,7.2,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman",410757
Happy Gilmore,Dennis Dugan,7.0,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",249239
Indiana Jones and the Dial of Destiny,James Mangold,6.5,"Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas, Karen Allen",199824
Bram Stoker's Dracula,Francis Ford Coppola,7.4,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves",238939
Transformers,Michael Bay,7.0,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",675934
Once Upon a Time in America,Sergio Leone,8.3,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams",378450
Les trois mousquetaires : Milady,Martin Bourboulon,6.5,"François Civil, Vincent Cassel, Romain Duris, Pio Marmaï",4862
La sociedad de la nieve,J.A. Bayona,7.8,"Enzo Vogrincic, Agustín Pardella, Matías Recalt, Esteban Bigliardi",134228
Aku wa sonzai shinai,Ryûsuke Hamaguchi,7.1,"Hitoshi Omika, Ryô Nishikawa, Ryûji Kosaka, Ayaka Shibutani",4125
Scarface,Brian De Palma,8.3,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio",918353
Priscilla,Sofia Coppola,6.5,"Cailee Spaeny, Jacob Elordi, Ari Cohen, Dagmara Dominczyk",35818
Hidden Figures,Theodore Melfi,7.8,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner",255902
The Great Gatsby,Baz Luhrmann,7.2,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire",598123
Drive-Away Dolls,Ethan Coen,5.5,"Margaret Qualley, Geraldine Viswanathan, Beanie Feldstein, Joey Slotnick",13160
The Passion of the Christ,Mel Gibson,7.2,"Jim Caviezel, Monica Bellucci, Maia Morgenstern, Christo Jivkov",251567
Terminator 2: Judgment Day,James Cameron,8.6,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",1176224
Aavesham,Jithu Madhavan,8.0,"Fahadh Faasil, Hipzster, Mithun Jai Shankar, Roshan Shanavas",6159
The Little Things,John Lee Hancock,6.3,"Denzel Washington, Rami Malek, Jared Leto, Chris Bauer",127004
The Equalizer 2,Antoine Fuqua,6.7,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean",198781
Jaws,Steven Spielberg,8.1,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",660748
The Nice Guys,Shane Black,7.4,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer",374758
The Lost Boys,Joel Schumacher,7.2,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes",161592
The Lighthouse,Robert Eggers,7.4,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes",256033
Thanksgiving,Eli Roth,6.3,"Patrick Dempsey, Ty Olsson, Gina Gershon, Lynne Griffin",49916
The Age of Adaline,Lee Toland Krieger,7.2,"Blake Lively, Michiel Huisman, Harrison Ford, Kathy Baker",203863
Beverly Hills Cop,Martin Brest,7.4,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher",203991
Bones and All,Luca Guadagnino,6.8,"Timothée Chalamet, Taylor Russell, Mark Rylance, Kendle Coffey",58598
Doctor Strange in the Multiverse of Madness,Sam Raimi,6.9,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong",479820
She's Out of My League,Jim Field Smith,6.4,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel",144833
The Shining,Stanley Kubrick,8.4,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",1108944
The Pianist,Roman Polanski,8.5,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox",914615
After,Jenny Gage,5.3,"Josephine Langford, Hero Fiennes Tiffin, Khadijha Red Thunder, Dylan Arnold",66026
Pretty Woman,Garry Marshall,7.1,"Richard Gere, Julia Roberts, Jason Alexander, Laura San Giacomo",363817
Smile,Parker Finn,6.5,"Sosie Bacon, Jessie T. Usher, Kyle Gallner, Robin Weigert",162622
Die Hard,John McTiernan,8.2,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",947109
The Martian,Ridley Scott,8.0,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",927468
The Truman Show,Peter Weir,8.2,"Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich",1199322
Love Actually,Richard Curtis,7.6,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney",532040
Salò o le 120 giornate di Sodoma,Pier Paolo Pasolini,5.8,"Paolo Bonacelli, Giorgio Cataldi, Uberto Paolo Quintavalle, Aldo Valletti",65986
Brokeback Mountain,Ang Lee,7.7,"Jake Gyllenhaal, Heath Ledger, Michelle Williams, Randy Quaid",383199
Saw X,Kevin Greutert,6.6,"Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand",75316
American Pie,Paul Weitz,7.0,"Chris Weitz, Jason Biggs, Chris Klein, Thomas Ian Nicholas, Jennifer Coolidge",434404
Guardians of the Galaxy,James Gunn,8.0,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",1275233
Taxi Driver,Martin Scorsese,8.2,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks",922755
Unfaithful,Adrian Lyne,6.7,"Richard Gere, Diane Lane, Olivier Martinez, Erik Per Sullivan",98641
Margin Call,J.C. Chandor,7.1,"Zachary Quinto, Stanley Tucci, Kevin Spacey, Paul Bettany",144830
X: First Class,Matthew Vaughn,7.7,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",724748
Empire of the Sun,Steven Spielberg,7.7,"Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers",134492
Meg 2: The Trench,Ben Wheatley,5.0,"Jason Statham, Jing Wu, Shuya Sophia Cai, Cliff Curtis",79328
The Big Short,Adam McKay,7.8,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt",485895
Divergent,Neil Burger,6.6,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney",489770
The Marvels,Nia DaCosta,5.5,"Brie Larson, Teyonah Parris, Iman Vellani, Samuel L. Jackson",126206
Grown Ups,Dennis Dugan,6.0,"Adam Sandler, Salma Hayek, Kevin James, Chris Rock",277256
Damaged,Terry McDonough,4.6,"Samuel L. Jackson, Vincent Cassel, Gianni Capaldi, Kate Dickie",2959
All Good Things,Andrew Jarecki,6.3,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe",60329
Baywatch,Seth Gordon,5.5,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas",202511
Thor: Love and Thunder,Taika Waititi,6.2,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson",402527
Godzilla,Gareth Edwards,6.4,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",441884
The Little Mermaid,Rob Marshall,7.2,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy, Javier Bardem",156474
Havoc,Barbara Kopple,5.5,"Anne Hathaway, Bijou Phillips, Shiri Appleby, Michael Biehn",20453
Black Swan,Darren Aronofsky,8.0,"Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder",826399
The King's Man,Matthew Vaughn,6.3,"Ralph Fiennes, Gemma Arterton, Rhys Ifans, Harris Dickinson",174096
The Northman,Robert Eggers,7.0,"Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke",254543
Crew,Rajesh A Krishnan,6.4,"Tabu, Kareena Kapoor, Kriti Sanon, Diljit Dosanjh",25251
The Breakfast Club,John Hughes,7.8,"Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy",437410
Highlander,Russell Mulcahy,7.0,"Christopher Lambert, Sean Connery, Clancy Brown, Roxanne Hart",147781
The Sixth Sense,M. Night Shyamalan,8.2,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",1053214
Harry Potter and the Goblet of Fire,Mike Newell,7.7,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes",682730
Batman Begins,Christopher Nolan,8.2,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",1581196
Fair Play,Chloe Domont,6.4,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer",37613
Mulholland Dr.,David Lynch,7.9,"Naomi Watts, Laura Harring, Justin Theroux, Jeanne Bates",384518
A Clockwork Orange,Stanley Kubrick,8.3,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",882501
X-Men: Days of Future Past,Bryan Singer,7.9,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",746294
Airplane!,Jim Abrahams,7.7,"David Zucker, Jerry Zucker, Robert Hays, Julie Hagerty, Leslie Nielsen, Kareem Abdul-Jabbar",261703
American History X,Tony Kaye,8.5,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",1188067
The Greatest Showman,Michael Gracey,7.5,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya",312199
Knox Goes Away,Michael Keaton,6.9,"Michael Keaton, Ray McKinnon, Cassie Moronez, Paul Perri",6637
Almost Famous,Cameron Crowe,7.9,"Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand",293895
One Flew Over the Cuckoo's Nest,Milos Forman,8.7,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco",1074056
