Title,Director,Rating,Cast,Votes
Rooster Cogburn,Stuart Millar,6.8,"John Wayne, Katharine Hepburn, Anthony Zerbe, Richard Jordan",13154
Lvx Æterna,Gaspar Noé,6.2,"Béatrice Dalle, Charlotte Gainsbourg, Abbey Lee, Claude-Emmanuelle Gajan-Maull",7429
Eye for an Eye,John Schlesinger,6.2,"Sally Field, Kiefer Sutherland, Ed Harris, Olivia Burnette",18960
King Solomon's Mines,J. Lee Thompson,5.2,"Richard Chamberlain, Sharon Stone, Herbert Lom, John Rhys-Davies",14944
Fortress,James Cullen Bressack,3.3,"Jesse Metcalfe, Bruce Willis, Chad Michael Murray, Kelly Greyson",5478
Wildlife,Paul Dano,6.8,"Ed Oxenbould, Jake Gyllenhaal, Carey Mulligan, Travis W Bruyer",31435
Heidi,Allan Dwan,7.2,"Shirley Temple, Jean Hersholt, Arthur Treacher, Helen Westley",4970
Tucker: The Man and His Dream,Francis Ford Coppola,6.9,"Jeff Bridges, Joan Allen, Martin Landau, Frederic Forrest",21894
Beast,Michael Pearce,6.8,"Jessie Buckley, Geraldine James, Oliver Maltman, Trystan Gravelle",15722
Zoom,Peter Hewitt,4.4,"Tim Allen, Courteney Cox, Chevy Chase, Spencer Breslin",22841
The Duke of Burgundy,Peter Strickland,6.5,"Sidse Babett Knudsen, Monica Swinn, Chiara D'Anna, Kata Bartsch",14375
Oxygène,Alexandre Aja,6.5,"Mélanie Laurent, Mathieu Amalric, Malik Zidi, Laura Boujenah",44388
My Friend Dahmer,Marc Meyers,6.2,"Ross Lynch, Alex Wolff, Anne Heche, Vincent Kartheiser",23683
The Persian Version,Maryam Keshavarz,6.2,"Layla Mohammadi, Niousha Noor, Kamand Shafieisabet, Bijan Daneshmand",3531
A Good Woman,Mike Barker,6.4,"Helen Hunt, Scarlett Johansson, Tom Wilkinson, Milena Vukotic",14126
...E tu vivrai nel terrore! L'aldilà,Lucio Fulci,6.6,"Catriona MacColl, David Warbeck, Cinzia Monreale, Antoine Saint-John",25356
Extremely Loud & Incredibly Close,Stephen Daldry,6.9,"Thomas Horn, Tom Hanks, Sandra Bullock, Max von Sydow",105235
You Belong to Me,Vaughn Stein,5.3,"Casey Affleck, Michelle Monaghan, Sam Claflin, Veronica Ferres",7015
Windfall,Charlie McDowell,5.7,"Jason Segel, Lily Collins, Jesse Plemons, Omar Leyva",26764
Dog Pound,Kim Chapiron,7.0,"Adam Butcher, Shane Kippel, Matthew Morales, Slim Twig",13536
Disney's Newsies: The Broadway Musical,Jeff Calhoun,8.2,"Brett Sullivan, Jeremy Jordan, Kara Lindsay, Ben Fankhauser, Andrew Keenan-Bolger",3619
In the Blood,John Stockwell,5.7,"Gina Carano, Cam Gigandet, Ismael Cruz Cordova, Danny Trejo",13134
Tales from the Crypt: Demon Knight,Ernest R. Dickerson,6.7,"Billy Zane, William Sadler, Jada Pinkett Smith, Brenda Bakke",26353
Testament of Youth,James Kent,7.2,"Alicia Vikander, Kit Harington, Taron Egerton, Dominic West",30537
Saving Silverman,Dennis Dugan,5.8,"Jason Biggs, Steve Zahn, Jack Black, Amanda Peet",42700
Corsage,Marie Kreutzer,6.6,"Vicky Krieps, Florian Teichtmeister, Katharina Lorenz, Jeanne Werner",9738
Anatomie de l'enfer,Catherine Breillat,4.4,"Amira Casar, Rocco Siffredi, Alexandre Belin, Manuel Taglang",6162
Analyze That,Harold Ramis,5.9,"Robert De Niro, Billy Crystal, Lisa Kudrow, Joe Viterelli",89561
White Christmas,Michael Curtiz,7.6,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen",51169
When Night Is Falling,Patricia Rozema,6.5,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox",7441
D.A.R.Y.L.,Simon Wincer,6.3,"Mary Beth Hurt, Michael McKean, Kathryn Walker, Colleen Camp",14110
The Bay,Barry Levinson,5.7,"Will Rogers, Kristen Connolly, Kether Donohue, Frank Deal",29682
Diary of a Wimpy Kid: The Long Haul,David Bowers,4.3,"Jason Drucker, Alicia Silverstone, Tom Everett Scott, Charlie Wright",10951
Fletch Lives,Michael Ritchie,6.1,"Chevy Chase, Hal Holbrook, Julianne Phillips, R. Lee Ermey",23308
Black Mirror: Bandersnatch,David Slade,7.1,"Fionn Whitehead, Craig Parkinson, Alice Lowe, Asim Chaudhry",136414
Poetic Justice,John Singleton,6.1,"Janet Jackson, Tupac Shakur, Regina King, Joe Torry",16663
7-beon-bang-ui seon-mul,Hwan-kyung Lee,8.1,"Ryu Seung-ryong, Kal So-won, Oh Dal-su, Jeong Man-sik",24010
Aquaslash,Renaud Gauthier,3.7,"Nicolas Fontaine, Brittany Drisdelle, Nick Walker, Madelline Harvey",3119
The Siege of Jadotville,Richie Smyth,7.2,"Jamie Dornan, Emmanuelle Seigner, Mark Strong, Mikael Persbrandt",44459
Somewhere in Queens,Ray Romano,6.8,"Ray Romano, Laurie Metcalf, Jacob Ward, Sadie Stanley",5033
For Colored Girls,Tyler Perry,6.2,"Janet Jackson, Anika Noni Rose, Whoopi Goldberg, Kimberly Elise",8203
A Star Is Born,George Cukor,7.5,"Judy Garland, James Mason, Jack Carson, Charles Bickford",19694
The Current War,Alfonso Gomez-Rejon,6.5,"Benedict Cumberbatch, Oliver Powell, Sophia Ally, Tuppence Middleton",31005
Wendell & Wild,Henry Selick,6.4,"Lyric Ross, Keegan-Michael Key, Jordan Peele, Angela Bassett",12918
Huo Yuan Jia,Ronny Yu,7.6,"Jet Li, Li Sun, Yong Dong, Yun Qu",78760
Reversal of Fortune,Barbet Schroeder,7.2,"Jeremy Irons, Glenn Close, Ron Silver, Annabella Sciorra",18880
The Baytown Outlaws,Barry Battles,6.3,"Billy Bob Thornton, Eva Longoria, Thomas Brodie-Sangster, Clayne Crawford",16038
After the Sunset,Brett Ratner,6.2,"Pierce Brosnan, Salma Hayek, Woody Harrelson, Don Cheadle",49893
The Lost Husband,Vicky Wight,6.1,"Leslie Bibb, Josh Duhamel, Nora Dunn, Herizen F. Guardiola",5715
Fifty Shades of Black,Michael Tiddes,3.5,"Marlon Wayans, Kali Hawk, Fred Willard, Mike Epps",23269
Black Sheep,Jonathan King,5.8,"Oliver Driver, Nathan Meister, Tammy Davis, Matthew Chamberlain",42132
Scarface,Howard Hawks,7.7,"Richard Rosson, Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins",30378
Oegye+in 1bu,Dong-hoon Choi,6.2,"Yoon Byung-hee, Kim Chan-hyung, Kim Dae-myung, Shim Dal-gi",5343
