Title,Director,Actual Rating,Predicted Rating
Jungle Cruise,Jaume Collet-Serra,6.6,6.71347540326474
Dead Presidents,Albert Hughes,6.9,6.773107366434008
A Rainy Day in New York,Woody Allen,6.5,6.618279799410184
Mission: Impossible II,John Woo,6.1,6.699106255513108
Star Wars: Episode III - Revenge of the Sith,George Lucas,7.6,6.728922237097743
Triple Threat,Jesse V. Johnson,5.6,6.711679259795786
The Hobbit: An Unexpected Journey,Peter Jackson,7.8,6.661387242665077
Notorious,George Tillman Jr.,6.7,6.7278445510163705
Death Wish,Eli Roth,6.3,6.7364660396673495
Club Dread,Jay Chandrasekhar,5.7,6.713116174570949
Shadow of a Doubt,Alfred Hitchcock,7.8,6.770233536883682
Brokedown Palace,Jonathan Kaplan,6.4,6.697310112044154
After the Sunset,Brett Ratner,6.2,6.7569420752134235
Dip huet seung hung,John Woo,7.7,6.699106255513108
Hitch,Andy Tennant,6.6,6.767359707333355
A Ghost Story,David Lowery,6.8,6.743650613543164
The Game,David Fincher,7.7,6.74580598570591
Now You See Me 2,Jon M. Chu,6.4,6.698387798125527
Christiane F. - Wir Kinder vom Bahnhof Zoo,Uli Edel,7.5,6.623668229817046
Now You See Me,Louis Leterrier,7.2,6.687610937311804
I onde dager,Tommy Wirkola,6.9,6.625105144592209
The Polar Express,Robert Zemeckis,6.6,6.647377323607237
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,5.2,6.652765754014099
Slither,James Gunn,6.5,6.716708461508857
Rob Roy,Michael Caton-Jones,6.9,6.679348677354616
North by Northwest,Alfred Hitchcock,8.3,6.770233536883682
Everybody's Fine,Kirk Jones,7.1,6.69048476686213
Last Exit to Brooklyn,Uli Edel,6.8,6.623668229817046
Velvet Goldmine,Todd Haynes,6.9,6.626901288061163
Who's That Girl,James Foley,4.8,6.717426918896438
The Brood,David Cronenberg,6.8,6.746524443093491
Der amerikanische Freund,Wim Wenders,7.4,6.618998256797766
Black Swan,Darren Aronofsky,8.0,6.747961357868654
Hollow Man,Paul Verhoeven,5.8,6.665338758296776
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,6.2,6.676115619110499
Free Fire,Ben Wheatley,6.3,6.761971276926494
St. Elmo's Fire,Joel Schumacher,6.4,6.70880543024546
Profondo rosso,Dario Argento,7.5,6.7483205865624445
The Wall,Doug Liman,6.2,6.737902954442512
Oldeuboi,Park Chan-wook,8.3,6.6671349017657295
Instant Family,Sean Anders,7.3,6.641270435812793
Thanksgiving,Eli Roth,6.3,6.7364660396673495
Holy Smoke,Jane Campion,5.9,6.714912318039903
Perfume: The Story of a Murderer,Tom Tykwer,7.5,6.6254643732859995
Paul,Greg Mottola,6.9,6.726766864934998
Jack Reacher: Never Go Back,Edward Zwick,6.1,6.73682526836114
Law Abiding Citizen,F. Gary Gray,7.4,6.735029124892186
Jurassic Park,Steven Spielberg,8.2,6.633367404549396
Zoe,Drake Doremus,6.1,6.737543725748721
Shooter,Antoine Fuqua,7.1,6.765922792558193
The King's Man,Matthew Vaughn,6.3,6.68150404951736
Casablanca,Michael Curtiz,8.5,6.6789894486608254
In Time,Andrew Niccol,6.7,6.7687966221085185
T2 Trainspotting,Danny Boyle,7.2,6.7490390439500265
Biutiful,Alejandro G. Iñárritu,7.4,6.772029680352635
Bright Star,Jane Campion,6.9,6.714912318039903
The Thin Red Line,Terrence Malick,7.6,6.6301343463052795
Quarantine,John Erick Dowdle,6.0,6.707009286776506
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,8.4,6.636600462793513
Inception,Christopher Nolan,8.8,6.751912873500352
The Dark Knight,Christopher Nolan,9.0,6.751912873500352
The Bank Job,Roger Donaldson,7.2,6.647018094913446
Basic Instinct,Paul Verhoeven,7.1,6.665338758296776
Strange Days,Kathryn Bigelow,7.2,6.692999367718666
The Karate Kid Part III,John G. Avildsen,5.3,6.705572372001343
Forgetting Sarah Marshall,Nicholas Stoller,7.1,6.671445646091219
The Lady Vanishes,Alfred Hitchcock,7.7,6.770233536883682
31,Rob Zombie,5.1,6.651328839238936
Banlieue 13,Pierre Morel,7.1,6.6585134131147505
The Matrix,Lana Wachowski,8.7,6.690125538168339
Enemy,Denis Villeneuve,6.9,6.740058326605257
Suzume no Tojimari,Makoto Shinkai,7.6,6.68581479384285
Black Snake Moan,Craig Brewer,6.9,6.75047595872519
Suburbicon,George Clooney,5.8,6.729640694485324
Disaster Movie,Jason Friedberg,1.9,6.714193860652321
Marlowe,Neil Jordan,5.3,6.672523332172591
All the President's Men,Alan J. Pakula,7.9,6.77382582382159
Frenzy,Alfred Hitchcock,7.4,6.770233536883682
Unbreakable,M. Night Shyamalan,7.3,6.68617402253664
Glory,Edward Zwick,7.8,6.73682526836114
Taken,Pierre Morel,7.7,6.6585134131147505
The War with Grandpa,Tim Hill,5.7,6.628338202836326
Ant-Man and the Wasp,Peyton Reed,7.0,6.659950327889914
Alice in Wonderland,Clyde Geronimi,7.3,6.75083518741898
Jin ling shi san chai,Yimou Zhang,7.5,6.617920570716393
The River Wild,Curtis Hanson,6.5,6.749757501337608
Dans la maison,François Ozon,7.3,6.732873752729441
Before the Devil Knows You're Dead,Sidney Lumet,7.3,6.63947429234384
Annie Hall,Woody Allen,8.0,6.618279799410184
Crash,David Cronenberg,6.4,6.746524443093491
Antz,Eric Darnell,6.5,6.735747582279767
Lone Survivor,Peter Berg,7.5,6.663183386134031
Tengoku to jigoku,Akira Kurosawa,8.4,6.774185052515381
Bronson,Nicolas Winding Refn,7.0,6.670367960009846
Young Frankenstein,Mel Brooks,8.0,6.680785592129779
Carrie,Brian De Palma,7.4,6.756582846519633
Up!,Russ Meyer,5.8,6.64414426536312
The Lobster,Yorgos Lanthimos,7.1,6.6175613420226025
Logan Lucky,Steven Soderbergh,7.0,6.633726633243187
The Hobbit: The Desolation of Smaug,Peter Jackson,7.8,6.661387242665077
The Rookie,John Lee Hancock,6.9,6.702698542451016
Blair Witch,Adam Wingard,5.0,6.774903509902962
The Haunting,Jan de Bont,5.0,6.715271546733693
The Last Boy Scout,Tony Scott,7.0,6.624745915898418
The Rainmaker,Francis Ford Coppola,7.2,6.734669896198395
Deep Water,Adrian Lyne,5.5,6.774544281209171
The Breakfast Club,John Hughes,7.8,6.70449468591997
Transsiberian,Brad Anderson,6.6,6.757660532601005
The Favourite,Yorgos Lanthimos,7.5,6.6175613420226025
Finding Neverland,Marc Forster,7.7,6.685096336455268
Perfect Stranger,James Foley,5.7,6.717426918896438
The Last Picture Show,Peter Bogdanovich,8.0,6.66282415744024
Devil's Knot,Atom Egoyan,6.1,6.7648451064768205
Amazon Women on the Moon,Joe Dante,6.2,6.710242345020623
The Mask,Chuck Russell,6.9,6.751553644806561
Stay,Marc Forster,6.7,6.685096336455268
Beneath the Valley of the Ultra-Vixens,Russ Meyer,5.4,6.64414426536312
Adrift,Baltasar Kormákur,6.6,6.76448587778303
What Ever Happened to Baby Jane?,Robert Aldrich,8.0,6.650969610545144
12 Angry Men,Sidney Lumet,9.0,6.63947429234384
Mary Poppins,Robert Stevenson,7.8,6.648095780994819
National Treasure: Book of Secrets,Jon Turteltaub,6.5,6.698028569431736
Fantastic Four,Tim Story,5.7,6.627978974142535
The Tree of Life,Terrence Malick,6.8,6.6301343463052795
Avengers: Infinity War,Anthony Russo,8.4,6.766282021251984
Magnolia,Paul Thomas Anderson,8.0,6.665697986990566
Tropic Thunder,Ben Stiller,7.1,6.762330505620285
Hubie Halloween,Steven Brill,5.2,6.634445090630769
The Ghost and the Darkness,Stephen Hopkins,6.8,6.635522776712142
Desperado,Robert Rodriguez,7.1,6.6488142383824
Damage,Louis Malle,6.7,6.687251708618013
Fire and Ice,Ralph Bakshi,6.5,6.657435727033379
Kick-Ass 2,Jeff Wadlow,6.5,6.7120384884895765
Murder on the Orient Express,Kenneth Branagh,6.5,6.691921681637293
Blackhat,Michael Mann,5.5,6.677911762579453
Pan,Joe Wright,5.7,6.709523887633041
Johnny Dangerously,Amy Heckerling,6.5,6.769874308189891
